ProductID,forecast,past_forecast,previous_orders,sales,store_stock,dc_intake,dc_stock
71,1872,1897,168,2263,74,3,1
70,1872,1897,166,2865,74,2,1
73,1872,1897,152,2769,74,3,1
74,1872,1897,144,2185,74,3,1
76,1872,1897,135,1725,74,1,1
77,1872,1897,129,1318,74,3,1
68,1872,1897,129,1211,74,2,1
67,1872,1897,123,1876,74,3,1
80,1872,1897,103,721,74,0,1
65,1872,1897,77,532,74,0,1
62,1872,1897,5,74,74,1,1
83,1872,1897,4,411,74,0,1
86,1872,1897,4,272,74,0,1
89,1872,1897,3,12,74,0,1
522,1416,2121,368,342,119,1,1
515,1416,2121,353,324,119,2,1
525,1416,2121,347,343,119,1,1
528,1416,2121,277,248,119,1,1
519,1416,2121,259,174,119,2,1
154,1014,990,57,522,39,1,1
139,1014,990,46,1828,39,5,1
125,1014,990,46,1002,39,3,1
124,1014,990,46,910,39,6,1
143,1014,990,42,1098,39,7,1
155,1014,990,42,875,39,7,1
79,1014,990,41,771,39,2,1
169,1014,990,33,1345,39,5,1
141,1014,990,26,709,39,4,1
64,1014,990,22,343,39,0,1
171,1014,990,20,446,39,2,1
173,1014,990,10,844,39,6,1
19,1010,772,55,1156,39,9,1
23,1010,772,30,702,39,11,1
4,1010,772,22,506,39,9,1
21,1010,772,14,518,39,9,1
34,866,990,40,393,39,4,1
49,866,990,38,750,39,4,1
53,866,990,37,448,39,3,1
51,866,990,28,350,39,1,1
109,819,990,38,1298,39,3,1
94,819,990,35,466,39,2,1
593,819,347,73,58,39,3,1
589,819,347,14,19,39,4,1
574,819,347,5,20,39,3,1
529,468,686,231,310,39,2,1
514,468,686,187,236,39,1,1
533,468,686,178,213,39,2,1
531,468,686,134,106,39,3,1
635,204,0,0,0,37,2,1
644,204,0,0,0,37,2,1
638,204,0,0,0,12,2,1
641,204,0,0,0,12,2,1
647,204,0,0,0,12,2,1
650,204,0,0,0,12,2,1
549,148,638,111,45,39,2,1
547,148,638,107,61,39,2,1
545,148,638,96,53,39,4,1
551,148,638,82,38,39,1,1
543,148,638,62,34,39,1,1
553,148,638,58,22,39,2,1
564,148,638,11,9,39,1,1
563,148,638,5,5,39,0,1
562,148,638,4,6,39,0,1
565,148,638,4,4,39,0,1
555,148,638,3,0,39,0,1
566,148,638,1,2,39,0,1
567,148,638,1,1,39,0,1
674,144,0,16,3,12,1,1
701,144,0,15,3,12,0,1
704,144,0,14,2,12,0,1
707,144,0,14,1,12,1,1
710,144,0,14,1,12,0,1
698,144,0,13,2,12,1,1
677,144,0,13,1,12,2,1
668,144,0,13,1,12,1,1
671,144,0,13,1,12,1,1
695,144,0,13,1,12,0,1
680,144,0,12,0,12,2,1
665,144,0,12,0,12,1,1
605,48,0,0,0,37,2,1
611,48,0,0,0,37,2,1
617,48,0,0,0,37,2,1
620,48,0,0,0,37,2,1
608,48,0,0,0,12,2,1
614,48,0,0,0,12,2,1
314,0,2567,15,560,151,0,1
311,0,2567,13,542,151,0,1
317,0,2567,8,393,151,0,1
307,0,2567,8,351,151,0,1
323,0,2567,8,167,151,1,1
304,0,2567,8,108,151,0,1
313,0,2567,7,499,151,0,1
318,0,2567,7,188,151,0,1
321,0,2567,7,139,151,0,1
308,0,2567,6,364,151,0,1
320,0,2567,5,292,151,0,1
315,0,2567,5,222,151,0,1
319,0,2567,5,173,151,0,1
312,0,2567,4,196,151,0,1
310,0,2567,3,506,151,0,1
305,0,2567,3,204,151,0,1
309,0,2567,3,139,151,0,1
326,0,2567,3,27,151,0,1
324,0,2567,3,12,151,0,1
325,0,2567,3,9,151,0,1
316,0,2567,2,376,151,0,1
328,0,2567,2,0,151,0,1
302,0,2567,1,46,151,0,1
306,0,2567,1,35,151,0,1
322,0,2567,1,28,151,0,1
327,0,2567,1,6,151,0,1
329,0,2567,1,3,151,0,1
301,0,2567,0,8,151,0,1
330,0,2567,0,2,151,0,1
303,0,2567,0,1,151,0,1
463,0,535,31,107,35,0,1
461,0,535,25,115,35,1,1
460,0,535,21,103,35,1,1
458,0,535,20,76,35,0,1
467,0,535,20,69,35,1,1
457,0,535,16,87,35,0,1
464,0,535,15,94,35,1,1
466,0,535,15,67,35,0,1
470,0,535,11,51,35,0,1
468,0,535,10,47,35,0,1
462,0,535,8,61,35,0,1
469,0,535,8,42,35,0,1
454,0,535,8,40,35,0,1
455,0,535,7,49,35,1,1
459,0,535,6,41,35,0,1
471,0,535,5,33,35,0,1
473,0,535,5,25,35,0,1
465,0,535,4,52,35,1,1
456,0,535,1,5,35,0,1
451,0,535,1,4,35,0,1
474,0,535,1,3,35,0,1
476,0,535,1,2,35,0,1
479,0,535,1,1,35,0,1
477,0,535,0,4,35,0,1
472,0,535,0,3,35,0,1
453,0,535,0,2,35,0,1
475,0,535,0,2,35,0,1
452,0,535,0,1,35,0,1
478,0,535,0,1,35,0,1
480,0,535,0,0,35,0,1
374,0,0,82,207,0,0,1
371,0,0,80,189,0,1,1
404,0,0,73,388,2,0,1
401,0,0,64,326,2,0,1
75,0,0,56,677,0,1,1
78,0,0,55,480,0,1,1
105,0,0,54,925,0,1,1
72,0,0,53,592,0,1,1
377,0,0,50,135,0,0,1
403,0,0,49,130,2,0,1
368,0,0,45,100,0,0,1
